Date,Address,Trap,Latitude,Longitude,NumMosquitos,WnvPresent,Day,Month,Year,Species_CULEX PIPIENS,Species_CULEX RESTUANS,Species,Station,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,dz,ra,ts,tsra,vcts
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",T002,41.95469,-87.800991,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"4100 North Oak Park Avenue, Chicago, IL 60634, USA",T002,41.95469,-87.800991,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"6200 North Mandell Avenue, Chicago, IL 60646, USA",T007,41.994991,-87.769279,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",T015,41.974089,-87.824812,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"7900 West Foster Avenue, Chicago, IL 60656, USA",T015,41.974089,-87.824812,4,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1500 West Webster Avenue, Chicago, IL 60614, USA",T045,41.9216,-87.666455,2,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2500 West Grand Avenue, Chicago, IL 60654, USA",T046,41.891118,-87.654491,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",T048,41.867108,-87.654224,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1100 Roosevelt Road, Chicago, IL 60608, USA",T048,41.867108,-87.654224,2,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1100 West Chicago Avenue, Chicago, IL 60642, USA",T049,41.896282,-87.655232,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2100 North Stave Street, Chicago, IL 60647, USA",T050,41.919343,-87.694259,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",T054,41.921965,-87.632085,2,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 North Cannon Drive, Chicago, IL 60614, USA",T054,41.921965,-87.632085,3,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",T086,41.688324,-87.676709,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 West 113th Street, Chicago, IL 60643, USA",T086,41.688324,-87.676709,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1100 South Peoria Street, Chicago, IL 60608, USA",T091,41.862292,-87.64886,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1700 West 95th Street, Chicago, IL 60643, USA",T094,41.720848,-87.666014,3,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",T096,41.731922,-87.677512,5,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"2200 West 89th Street, Chicago, IL 60643, USA",T096,41.731922,-87.677512,1,0,29,5,2007,1,0,CULEX PIPIENS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",T129,41.891126,-87.61156,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"North Streeter Drive, Chicago, IL 60611, USA",T129,41.891126,-87.61156,2,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"6500 North Oak Park Avenue, Chicago, IL 60631, USA",T143,41.999129,-87.795585,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"7500 North Oakley Avenue, Chicago, IL 60645, USA",T148,42.01743,-87.687769,1,0,29,5,2007,1,1,CULEX PIPIENS/RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"1500 North Long Avenue, Chicago, IL 60651, USA",T153,41.907645,-87.760886,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
2007-05-29,"8900 South Carpenter Street, Chicago, IL 60620, USA",T159,41.732984,-87.649642,1,0,29,5,2007,0,1,CULEX RESTUANS,1.5,88.0,62.5,75.5,10.0,58.5,65.5,0.0,10.5,421.0,1917.0,0.0,29.415,30.1,5.8,17.0,6.95,0.0,0.0,0.0,0.0,0.0
